Datum  : 23-08-2022 [22:36]                                                                                                 NPI ARTIKELEN V3                                                                                                  Blad      :     1
Neways Cable & Wire Sol. B.V.                                                                                                                                                                                                                  Bedrijf   :  450

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Artikel         |Omschrijving                  |S|Sig|Mat.    |CRL|CRL Name                      |RFQ number  |Nummer|Hoeveelheid   |Startdatum|Leverdatum|Plannr|Afd|Taak|Norm    |
4022 623 83593  |EL MBBM VAC DGL PRE ASSEM ASSY|M|EP3|        |5F1|ASML GRADE 2 ASSY       141122|22.05.00393 |     0|        2,00  |29-07-2022|29-08-2022|  7006|101|7010|        |
4022 623 84101  |RM MAIN COMP ACCELEROMETER    |S|EN4|        |5A1|ASML CABLE              141104|22.04.00298 |338711|        5,00  |09-08-2022|31-08-2022|  8034|N01|4010|        |
4022 623 84111  |RM X0 ACCELEROMETER           |S|EN4|        |5A1|ASML CABLE              141104|22.04.00298 |338712|        5,00  |10-08-2022|02-09-2022|  8034|N01|4010|        |
4022 623 84121  |RM X1 ACCELEROMETER           |S|EN4|        |5A1|ASML CABLE              141104|22.04.00298 |338713|        5,00  |09-08-2022|31-08-2022|  8034|N01|4010|        |
4022 623 84131  |RM X1 I/O-VFT TO X1-CP ACC CBL|M|EN3|        |5A1|ASML CABLE              141104|22.04.00298 |     0|        5,00  |22-09-2022|11-10-2022|  8034|N01|4010|        |
4022 623 84192  |RS SS DIFF SENSOR ASSY B      |S|EP4|        |5F1|ASML GRADE 2 ASSY       141122|22.03.00242 |162702|        1,00  |20-06-2022|18-07-2022|  7009|101|7010|        |
4022 623 85521  |NXE 3800 POB DYLI E-BUN NX    |M|PIL|        |5F2|NAA GRADE 2 ASSY        140838|22.03.00269 |     0|        1,00  |06-09-2022|04-10-2022|  7008|101|7010|        |
4022 623 85531  |NXE 3800 POB DYLI E-BUN PX    |M|EP4|        |5F2|NAA GRADE 2 ASSY        140838|22.03.00277 |     0|        1,00  |05-09-2022|04-10-2022|  7008|101|7010|        |
4022 623 89461  |RM X1 I/O-VFT TO BM-ENC CBL   |M|EN3|        |5A1|ASML CABLE              141104|22.04.00298 |     0|        5,00  |22-09-2022|11-10-2022|  8034|N01|4010|        |
4022 623 90061  |FT DGL HOOD CBL SET           |S|EN4|        |5F1|ASML GRADE 2 ASSY       141122|22.07.00595 |170052|        1,00  |05-08-2022|29-08-2022|  7006|101|7010|        |
4022 623 90071  |FT DGL HATCH CBL SET          |S|EP4|        |5F2|NAA GRADE 2 ASSY        140838|22.06.00489 |736584|        9,00  |05-08-2022|07-09-2022|  7009|101|7010|        |
4022 623 90391  |SR HC HO BAR EXT CBL          |M|EP3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.05.00394 |     0|        3,00  |08-09-2022|28-09-2022|     0|101|7010|        |
4022 623 90441  |SR HC CFR 26P TEMP CBL        |M|EP3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.05.00394 |     0|        3,00  |07-10-2022|28-10-2022|     0|101|7010|        |
4022 623 90452  |SR HC BB HEAT CBL             |M|EP3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.07.00604 |     0|        3,00  |07-09-2022|27-09-2022|     0|101|7010|        |
4022 623 90461  |SR HC BB 26P TEMP CBL         |M|EP3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.05.00394 |     0|        3,00  |27-09-2022|18-10-2022|     0|101|7010|        |
4022 623 90501  |SR HC DEP DG 26P TEMP CBL     |M|EP3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.05.00394 |     0|        3,00  |23-09-2022|18-10-2022|     0|101|7010|        |
4022 623 90611  |SR HC TDT HEAT CBL            |M|EP3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.05.00394 |     0|        3,00  |23-08-2022|13-09-2022|  7008|101|7010|        |
4022 623 91101  |SR HC TDT HEAT CBL            |M|EP3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.05.00394 |     0|        3,00  |23-08-2022|13-09-2022|  7008|101|7010|        |
4022 623 91111  |SR HC DEP PWR CBL1            |M|EP3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.05.00394 |     0|        3,00  |23-08-2022|13-09-2022|  7008|101|7010|        |
4022 623 91121  |SR HC DEP PWR CBL1            |M|EP3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.05.00394 |     0|        3,00  |23-08-2022|13-09-2022|  7008|101|7010|        |
4022 623 92441  |SR HC SDM HELT TEMP CBL ASSY  |M|EP3|        |5F3|VDL-ETG GRADE 2 ASSY    141137|22.05.00394 |     0|        3,00  |30-09-2022|25-10-2022|     0|101|7010|        |
4022 623 93521  |EL MF PARTS CBL ASSY 3800E    |M|EP4|        |5F1|ASML GRADE 2 ASSY       141122|22.03.00220 |     0|        2,00  |04-10-2022|26-10-2022|  7008|101|7010|        |
4022 623 95111  |RS EXE LOS YZ CM TO BM PE     |S|PIL|        |5F1|ASML GRADE 2 ASSY       141122|22.05.00413 |170061|        2,00  |29-08-2022|16-09-2022|  7008|101|7010|        |
4022 625 72792  |NXE LCR 7P REC TO PLUG 4MM CBL|M|EP3|0,52    |5A1|ASML CABLE              141104|22.07.00625 |     0|        1,00  |29-08-2022|16-09-2022|  7010|101|7010|        |
4022 636 08083# |4022 636 08083 CLEANED GRADE4 |M|EN3|        |5A1|ASML CABLE              141104|22.07.00646 |     0|        4,00  |12-09-2022|21-09-2022|  8034|N01|4010|        |
4022 636 79684  |NXE WS SSCCB ATCNTR ASSY      |M|EN3|        |5E1|VDL-ETG ASML REL.       140716|22.04.00336 |     0|        7,00  |16-09-2022|04-10-2022|  8060|N01|4010|        |
4022 640 00721  |SH DUMMY EMO NXT/NXE          |M|EP3|        |5N2|NAA ASML-CABLE          140836|22.08.00678 |     0|        3,00  |21-10-2022|17-11-2022|     0|N01|4010|        |
4022 640 69421  |NXE WS WC HIPOT CBL 3P        |S|EP4|        |5A1|ASML CABLE              141104|22.02.00160 |162671|        5,00  |18-07-2022|10-08-2022|  7008|101|7010|        |
4022 640 76262  |NXE 2B 14J TO 37P SUBD TL CBL |M|PIL|        |5A1|ASML CABLE              141104|22.06.00521 |     0|        5,00  |22-09-2022|14-10-2022|  7010|101|7010|CAS     |
4022 640 84591  |NXE WS WC HIPOT CBL 2X3P      |S|EN4|        |5F1|ASML GRADE 2 ASSY       141122|20.05.00423 |975805|        2,00  |11-08-2022|02-09-2022|  7008|101|7010|        |
4022 640 93611  |NXE WS WC HIPOT CBL 6P (3X2)  |S|EN4|        |5A1|ASML CABLE              141104|22.03.00234 |975573|        1,00  |22-07-2022|16-08-2022|  7008|101|7010|        |
4022 646 16692  |NXE WS 2 TAPA ID CONNECTOR    |M|EN3|        |5A1|ASML CABLE              141104|22.07.00610 |     0|        8,00  |13-01-2023|02-02-2023|     0|N01|4010|        |
4022 664 31732  |EL BOTL-EUC BUN 021-0176A     |M|EN3|7 s2    |5A3|ASML 1D-BUNDLE          141104|22.07.00614 |     0|        6,00  |06-02-2023|01-03-2023|  8042|N01|4010|        |
4022 664 31742  |EL BOTR-EUC BUN 021-168A      |M|EN3|8 s11   |5A3|ASML 1D-BUNDLE          141104|22.07.00646 |     0|        4,00  |16-01-2023|08-02-2023|  8035|N01|4010|        |
4022 664 31773  |EL MIDL-EUC BUN 021-0171B     |M|EN3|6,710   |5A3|ASML 1D-BUNDLE          141104|22.06.00549 |     0|       12,00  |11-01-2023|06-02-2023|  8035|N01|4010|CAS     |
4022 668 15533  |EL ELRC CBL SET 021-0117E     |S|EN4|s15     |5N2|NAA ASML-CABLE          140836|22.01.00010 |338702|        3,00  |26-07-2022|30-08-2022|  8030|N01|4010|        |
4022 671 38022  |SH DIAG LSUV COMPBOX SHB-E CBL|M|EP3|        |5N2|NAA ASML-CABLE          140836|22.05.00370 |     0|        4,00  |07-09-2022|04-10-2022|     0|N01|4010|        |
4022 671 38031  |SH PWR LS UV COMPBOX SHB-E CBL|M|EP3|        |5N2|NAA ASML-CABLE          140836|22.08.00677 |     0|       12,00  |07-11-2022|02-12-2022|     0|N01|4010|        |
4022 671 50852  |NXE SR TC TCDA MMDC CBL       |M|EP3|        |5E1|VDL-ETG ASML REL.       140716|22.04.00321 |     0|       30,00  |06-10-2022|28-10-2022|  8060|N01|4010|        |
4022 671 50983  |NXE SR TC TCCP BUCKET TC1 CBL |M|EN3|        |5E1|VDL-ETG ASML REL.       140716|22.04.00321 |     0|        4,00  |31-10-2022|23-11-2022|  8034|N01|4010|        |
4022 673 89521.2|EXE WH LD COV INT ASSY        |M|PIL|0,84    |5E1|VDL-ETG ASML REL.       140716|22.01.00065 |     0|        3,00  |10-02-2023|06-03-2023|  8034|N01|4010|        |
4022 673 89531.2|EXE WH UL COV INT ASSY        |M|PIL|1,89    |5E1|VDL-ETG ASML REL.       140716|22.01.00065 |     0|        3,00  |10-02-2023|06-03-2023|  8034|N01|4010|        |
4022 677 56133  |EL ELEC-LENS CBL BUN 021-0033U|S|PRO|11 s24  |5A1|ASML CABLE              141104|22.03.00257 |312652|        3,00  |19-08-2022|12-09-2022|  8035|N01|4010|        |
4022 677 77303  |ZEISS TESTRIG B E-CAB CBL SET |S|EN3|        |5N2|NAA ASML-CABLE          140836|22.04.00295 |338617|        1,00  |04-10-2022|24-10-2022|  8035|N01|4010|        |
4022 680 31832  |MBI WS MK2 BAMO2CARR Y+ ASSY  |M|EN3|        |5M3|FRENCKEN SEMICON GRADE2 141047|21.12.01146 |     0|        1,00  |27-10-2022|28-11-2022|  7006|101|7010|        |
4022 680 85022  |MBI WS MK2 SISO E-CHAIN ASSY  |M|EN3|s3      |5M2|FRENCKEN SEMICON GRADE4 141047|21.05.00424 |     0|        1,00  |07-09-2022|19-09-2022|  8035|N01|4010|        |
4022 685 01722.1|EL OPCC CABINET CABLE SET 1   |M|EP4|        |5N2|NAA ASML-CABLE          140836|21.09.00872 |     0|        1,00  |21-10-2022|08-11-2022|  8035|N01|4010|        |
4022 685 01883  |EL OPMC CABINET CABLE SET     |M|EN4|s22     |5N3|NAA ASML-CABLE-SET      140836|22.01.00010 |     0|        2,00  |02-11-2022|28-11-2022|  9030|N01|4010|        |
4022 685 04123  |EL BOEC1 PWR CBL SET1         |M|PIL|s20     |5N3|NAA ASML-CABLE-SET      140836|21.12.01173 |     0|        1,00  |13-10-2022|08-11-2022|  8030|N01|4010|        |
4022 685 22922  |3B 26J TO 37P SUBD CON TL CBL |M|PIL|        |5A1|ASML CABLE              141104|22.06.00520 |     0|        4,00  |05-09-2022|28-09-2022|     0|101|7010|        |
4022 685 23332  |3B 26L TO 37P SUBD CON TL CBL |M|PIL|        |5A1|ASML CABLE              141104|22.06.00520 |     0|        4,00  |05-09-2022|28-09-2022|     0|101|7010|        |
4022 685 24691C#|4022 685 24691 L=35000 CLEANED|M|EN3|35      |5A1|ASML CABLE              141104|22.06.00524 |     0|        6,00  |29-08-2022|14-09-2022|  8034|N01|4010|        |
4022 685 24701C#|4022 685 24701 L=35000 CLEANED|M|EN3|35      |5A1|ASML CABLE              141104|22.06.00524 |     0|        6,00  |29-08-2022|14-09-2022|  8034|N01|4010|        |
4022 685 24801C#|4022 685 24801 L=35000 CLEANED|M|EN3|35      |5A1|ASML CABLE              141104|22.06.00524 |     0|        6,00  |29-08-2022|14-09-2022|  8034|N01|4010|        |
4022 685 24811C#|4022 685 24811 L=35000 CLEANED|M|EN3|35      |5A1|ASML CABLE              141104|22.06.00524 |     0|        6,00  |29-08-2022|14-09-2022|  8034|N01|4010|        |
4022 685 24821C#|4022 685 24821 L=35000 CLEANED|M|EN3|35      |5A1|ASML CABLE              141104|22.06.00524 |     0|        6,00  |29-08-2022|14-09-2022|  8034|N01|4010|        |
4022 685 24841C#|4022 685 24841 L=35000 CLEANED|M|EN3|35      |5A1|ASML CABLE              141104|22.06.00524 |     0|        6,00  |29-08-2022|14-09-2022|  8034|N01|4010|        |
4022 685 24851C#|4022 685 24851 L=35000 CLEANED|M|EN3|35      |5A1|ASML CABLE              141104|22.06.00524 |     0|        6,00  |29-08-2022|14-09-2022|  8034|N01|4010|        |
4022 685 24861C#|4022 685 24861 L=35000 CLEANED|M|EN3|35      |5A1|ASML CABLE              141104|22.06.00524 |     0|        6,00  |29-08-2022|14-09-2022|  8034|N01|4010|        |
4022 685 24871C#|4022 685 24871 L=35000 CLEANED|M|EN3|35      |5A1|ASML CABLE              141104|22.06.00524 |     0|        6,00  |29-08-2022|14-09-2022|  8034|N01|4010|        |
4022 685 24881C#|4022 685 24881 L=35000 CLEANED|M|EN3|35      |5A1|ASML CABLE              141104|22.06.00524 |     0|        6,00  |29-08-2022|14-09-2022|  8034|N01|4010|        |
4022 685 85741  |NXE RM QT ANALOG TFCP RMEB CBL|M|EP3|        |5E1|VDL-ETG ASML REL.       140716|22.05.00408 |     0|        1,00  |20-10-2022|15-11-2022|     0|N01|4010|        |
4022 685 87713  |EL BOEC1 SIG CBL SET1         |S|PIL|s17     |5N3|NAA ASML-CABLE-SET      140836|21.12.01173 |338694|        1,00  |08-08-2022|07-09-2022|  8030|N01|4010|        |
4022 685 87723  |EL BOEC1 SIG CBL SET2         |S|PIL|s8      |5N3|NAA ASML-CABLE-SET      140836|21.12.01173 |338682|        1,00  |09-08-2022|07-09-2022|  8035|N01|4010|        |
4022 685 87733  |EL BOEC1 FIB SET              |S|PIL|        |5N3|NAA ASML-CABLE-SET      140836|21.12.01173 |338727|        2,00  |25-08-2022|16-09-2022|  8035|N01|4010|        |
4022 685 96931  |PCA INTRF PLC CLE 190         |M|EP4|        |5N2|NAA ASML-CABLE          140836|21.12.01171 |     0|        3,00  |12-09-2022|07-10-2022|  8035|N01|4010|        |
4022 685 96941  |PCA INTRF PLC CABLE 120       |M|PIL|        |5N2|NAA ASML-CABLE          140836|21.12.01172 |     0|        2,00  |12-09-2022|07-10-2022|  8035|N01|4010|        |
4022 685 96971  |ELEC-SU RJ45-M12 ETHERNET CBL |M|PIL|        |5N2|NAA ASML-CABLE          140836|21.12.01170 |     0|        4,00  |02-12-2022|05-01-2023|  8035|N01|4010|        |
4022 689 07501  |WS/RS PAS WRR SBC RP PCA CBL  |S|EP4|s4      |5N2|NAA ASML-CABLE          140836|21.04.00388 |312639|        5,00  |17-08-2022|06-09-2022|     0|N01|4010|        |
4022 693 00421  |NXE3600D WS WSMR2 SIOB/SSC ID |M|EN3|        |5A1|ASML CABLE              141104|22.06.00534 |     0|        7,00  |15-09-2022|05-10-2022|     0|N01|4010|        |
4022 693 11172  |EXE EI SBMM VES CBL SET       |S|EN4|        |5E1|VDL-ETG ASML REL.       140716|22.04.00320 |338655|        1,00  |22-07-2022|26-08-2022|  8070|N01|4010|PDF/A4  |
4022 693 13192  |EL PRI ELEC-FLCP-1 CBL BUN    |M|EN3|18,440  |5A3|ASML 1D-BUNDLE          141104|22.06.00525 |     0|       25,00  |01-02-2023|24-02-2023|  8035|N01|4010|        |
4022 693 14221  |DY AM ISO VLV1 PBOX CBL       |M|PIL|        |5A1|ASML CABLE              141104|21.04.00329 |     0|        1,00  |09-09-2022|28-09-2022|  8034|N01|4010|        |
4022 693 14231  |DY AM ISO VLV3 PBOX CBL       |M|PIL|        |5A1|ASML CABLE              141104|21.04.00329 |     0|        1,00  |09-09-2022|28-09-2022|  8034|N01|4010|        |
4022 693 14251  |DY DIAG PRS1 PBOX CBL         |M|PIL|        |5A1|ASML CABLE              141104|21.04.00329 |     0|       10,00  |17-02-2023|08-03-2023|  8034|N01|4010|        |
4022 693 14342  |EXE EI SBCP VDGS PWR CBL BUN  |S|PIL|8 s4    |5E1|VDL-ETG ASML REL.       140716|22.04.00320 |338716|        1,00  |12-08-2022|09-09-2022|  8070|N01|4010|PDF/A4  |
4022 693 14411  |EXE EI KCCB SSCM SIG CBL BUN  |S|EN4|5 s6    |5E1|VDL-ETG ASML REL.       140716|21.05.00448 |338672|        1,00  |26-07-2022|26-08-2022|  8070|N01|4010|PDF/A4  |
4022 693 14422  |EXE EI SBCP VDGS SIG CBL BUN  |M|EN3|10 s3   |5E1|VDL-ETG ASML REL.       140716|22.04.00320 |     0|        1,00  |21-07-2022|22-08-2022|  8070|N01|4010|        |
4022 693 14431  |EXE EI SBCP FUCB SIG CBL BUN  |S|EN4|12 s4   |5E1|VDL-ETG ASML REL.       140716|21.04.00412 |338673|        2,00  |21-07-2022|26-08-2022|  8070|N01|4010|PDF/A4  |
4022 693 20003I |EXE EI BSFM HSEC-2 E-CHAIN    |M|EP3|        |5E1|VDL-ETG ASML REL.       140716|22.05.00546 |     0|        2,00  |01-09-2022|21-09-2022|  8070|N01|4010|        |
4022 693 20282  |EXE EI HSSU DIM LASER PWR SET |M|EN3|EXE1    |5E1|VDL-ETG ASML REL.       140716|22.06.00546 |     0|        2,00  |22-08-2022|16-09-2022|  8035|N01|4010|        |
4022 693 20292  |EXE EI SFCP6 HGIR PWR SET     |S|PIL|EXE1    |5E1|VDL-ETG ASML REL.       140716|22.06.00546 |338722|        2,00  |23-08-2022|16-09-2022|  8070|N01|4010|        |
4022 693 20302  |EXE EI SBF PE CBL SET         |M|EN3|        |5E1|VDL-ETG ASML REL.       140716|22.04.00345 |     0|        1,00  |20-09-2022|13-10-2022|  8035|N01|4010|        |
4022 693 20303  |EXE EI SBF PE CBL SET         |M|EP3|        |5E1|VDL-ETG ASML REL.       140716|22.06.00530 |     0|        1,00  |31-08-2022|23-09-2022|  8035|N01|4010|        |
4022 693 20322  |EXE EI SFCP5 TMPB PWR BUN     |M|EN3|7       |5E1|VDL-ETG ASML REL.       140716|22.06.00533 |     0|        1,00  |24-08-2022|20-09-2022|  8035|N01|4010|        |
4022 693 20332  |EXE EI SFCP FDBM BUN          |M|EN3|EXE1    |5E1|VDL-ETG ASML REL.       140716|22.06.00533 |     0|        2,00  |31-08-2022|23-09-2022|  8070|N01|4010|        |
4022 693 20342  |EXE EI SFCP3 DFWB PWR BUN     |M|EP4|6 s10   |5E1|VDL-ETG ASML REL.       140716|21.05.00421 |     0|        1,00  |29-08-2022|23-09-2022|  8070|N01|4010|        |
4022 693 20343  |EXE EI SFCP3 DFWB PWR BUN     |M|EP3|6,0     |5E1|VDL-ETG ASML REL.       140716|22.06.00530 |     0|        2,00  |08-12-2022|11-01-2023|  8070|N01|4010|        |
4022 693 20352  |EXE EI TMPB FWSM BUN          |M|EP3|        |5E1|VDL-ETG ASML REL.       140716|22.06.00530 |     0|        2,00  |22-11-2022|20-12-2022|  8070|N01|4010|        |
4022 693 23042  |EXE EI MISC PWR CBL SET       |S|EN4|6 s5    |5E1|VDL-ETG ASML REL.       140716|22.04.00320 |338652|        1,00  |15-07-2022|31-08-2022|  8070|N01|4010|PDF/A4  |
4022 693 26322  |EXE SH SHB 126TE PWR 1 CBL    |S|PRO|        |5N2|NAA ASML-CABLE          140836|22.07.00588 |312654|        4,00  |19-08-2022|08-09-2022|  8030|N01|4010|        |
4022 693 26332  |EXE SH SHB 126TE PWR 2 CBL    |M|PRO|        |5N2|NAA ASML-CABLE          140836|22.07.00588 |     0|        4,00  |17-08-2022|07-09-2022|  8030|N01|4010|        |
4022 693 28942  |SR EI EXE HSEC2-MID-SET       |S|PIL|s22     |5N3|NAA ASML-CABLE-SET      140836|22.02.00155 |338726|        2,00  |22-08-2022|09-09-2022|  8035|N01|4010|        |
4022 693 28952  |SR EI EXE HSEC2-BOT-SET       |S|PIL|s33     |5N2|NAA ASML-CABLE          140836|22.02.00155 |338708|        2,00  |18-08-2022|09-09-2022|  8035|N01|4010|        |
4022 693 38581  |EXE EI FLOOR EMO SET          |M|EN4|s1      |5E1|VDL-ETG ASML REL.       140716|22.04.00345 |     0|        1,00  |31-08-2022|21-09-2022|  8060|N01|4010|        |
4022 693 40242  |EL BOEC1 PE CBL SET           |S|PIL|s6      |5N3|NAA ASML-CABLE-SET      140836|21.12.01173 |338709|        2,00  |23-08-2022|16-09-2022|  8035|N01|4010|        |
4022 693 40752  |EXE EI SFCP6 SBF GS PWR BUN   |S|PIL|7,8     |5E1|VDL-ETG ASML REL.       140716|22.06.00546 |338730|        1,00  |16-08-2022|14-09-2022|  8070|N01|4010|        |
4022 693 40763  |EXE EI SFCP6 SBF GS BUN       |S|PRO|EXE1    |5E1|VDL-ETG ASML REL.       140716|22.06.00546 |312657|        2,00  |08-08-2022|09-09-2022|  8070|N01|4010|        |
4022 693 49452  |EXE EI MISC X VES CBL SET     |S|EN4|s14     |5E1|VDL-ETG ASML REL.       140716|22.04.00320 |338653|        1,00  |18-07-2022|24-08-2022|  8070|N01|4010|        |
4022 693 51061  |EL MBHM RIGHT SP FL PWR SET   |M|EN4|s2      |5A2|ASML CABLE-SET          141104|21.09.00904 |     0|        2,00  |16-12-2022|16-01-2023|  8035|N01|4010|        |
4022 693 52801  |IM ILL-TEMP FRCP ILMHB CBL    |M|EN3|        |5A1|ASML CABLE              141104|22.05.00368 |     0|       10,00  |28-11-2022|15-12-2022|     0|N01|4010|        |
4022 693 52811  |IM ILL-FLOW SAF FRCP ILMHB CBL|M|EN3|        |5A1|ASML CABLE              141104|22.05.00368 |     0|       10,00  |28-11-2022|15-12-2022|     0|N01|4010|        |
4022 693 52821  |IM ILL-MAINS FRCP ILMHB CBL   |M|EN3|        |5A1|ASML CABLE              141104|22.05.00368 |     0|       10,00  |21-03-2023|07-04-2023|     0|N01|4010|        |
4022 693 52982.1|EL OPCC CABINET CABLE SET 2   |M|PIL|s20     |5N2|NAA ASML-CABLE          140836|21.09.00872 |     0|        1,00  |29-09-2022|20-10-2022|  8035|N01|4010|        |
4022 693 52992.1|EL OPCC CABINET CABLE SET 3   |M|PIL|s15     |5N2|NAA ASML-CABLE          140836|21.09.00872 |     0|        1,00  |29-09-2022|20-10-2022|  8034|N01|4010|        |
4022 693 53002.1|EL OPCC CABINET CABLE SET 4   |M|PIL|s22     |5N2|NAA ASML-CABLE          140836|21.09.00872 |     0|        1,00  |29-09-2022|20-10-2022|  8035|N01|4010|        |
4022 693 53601  |LS UV LPPS SENSR BUS LCM CBL1 |S|PIL|        |5E3|EXELITAS                141113|22.03.00240 |741259|       15,00  |09-08-2022|07-09-2022|     0|N01|4010|        |
4022 693 54441  |LS UV LPPS MTRSES LCMSHTR1 CBL|S|PIL|        |5A1|ASML CABLE              141104|22.03.00240 |741260|       15,00  |09-08-2022|02-09-2022|     0|N01|4010|        |
4022 693 58631B |4022 693 58631 L=17100        |M|EP4|        |5A1|ASML CABLE              141104|22.03.00226 |     0|        1,00  |06-10-2022|25-10-2022|  8030|N01|4010|        |
4022 693 58641B |4022 693 58641 L=17060        |S|PIL|        |5A1|ASML CABLE              141104|22.03.00226 |338731|        5,00  |22-08-2022|09-09-2022|  8034|N01|4010|        |
4022 693 60822  |EXE SR VSHB ETH CABLE         |M|EP3|        |5N2|NAA ASML-CABLE          140836|22.03.00259 |     0|       12,00  |16-08-2022|06-09-2022|  8035|N01|4010|        |
4022 693 63212  |SR SH VSHB I/O CABLE          |S|EP4|        |5N2|NAA ASML-CABLE          140836|22.03.00259 |312638|       88,00  |05-08-2022|30-08-2022|  8035|N01|4010|        |
4022 693 66651  |IM ILL-HTR TEMP FRCP ILMHB CBL|M|EN3|        |5A1|ASML CABLE              141104|22.05.00368 |     0|       10,00  |28-11-2022|15-12-2022|     0|N01|4010|        |
4022 693 66803  |EL PRI SIGNAL CABLE SET       |M|EN3|SET     |5A2|ASML CABLE-SET          141104|22.01.00071 |     0|        3,00  |14-09-2022|10-10-2022|  8035|N01|4010|CAS     |
4022 693 67012  |EXE SR ASCB INT RS232 ITRF CBL|M|EN4|        |5N2|NAA ASML-CABLE          140836|22.02.00169 |     0|        2,00  |23-09-2022|12-10-2022|  9030|N01|4010|        |
4022 693 68311  |RH LDLK2 VENT OFF VLV         |M|EN4|        |5N2|NAA ASML-CABLE          140836|21.03.00181 |     0|        5,00  |24-11-2022|13-12-2022|  8060|N01|4010|        |
4022 693 68321  |RH LDLK2 PMP SOFT STRT VLV    |M|EN4|        |5N2|NAA ASML-CABLE          140836|21.03.00181 |     0|        5,00  |24-11-2022|13-12-2022|  8060|N01|4010|        |
4022 693 69553  |EXE EI HSEC-2 PWR BUN         |M|EP3|12 s19  |5E1|VDL-ETG ASML REL.       140716|22.06.00546 |     0|        2,00  |25-07-2022|29-08-2022|  8070|N01|4010|        |
4022 693 69563  |EXE EI HSEC-2 SIG BUN         |S|PRO|10 s22  |5E1|VDL-ETG ASML REL.       140716|22.06.00546 |312656|        2,00  |19-08-2022|16-09-2022|  8034|N01|4010|        |
4022 693 69571  |EXE EI HSEC-3 SIG BUN         |S|EN4|9 s3    |5E1|VDL-ETG ASML REL.       140716|21.06.00534 |338639|        2,00  |08-07-2022|30-08-2022|  8070|N01|4010|        |
4022 693 69581  |EXE EI HSEC-3 PWR BUN         |S|EN4|11 s7   |5E1|VDL-ETG ASML REL.       140716|21.06.00534 |338640|        2,00  |11-07-2022|24-08-2022|  8070|N01|4010|        |
4022 693 69841  |EXE EI SFCP TMPB SIG BUN      |M|EN4|9 s2    |5E1|VDL-ETG ASML REL.       140716|21.05.00462 |     0|        1,00  |31-08-2022|23-09-2022|  8070|N01|4010|        |
4022 693 73112  |EXE EI SBF AM BUN             |S|EP4|6 s9    |5E1|VDL-ETG ASML REL.       140716|22.04.00332 |312633|        1,00  |14-07-2022|29-08-2022|  8070|N01|4010|        |
4022 693 78142  |EXE EI BSF PE CBL SET         |M|EP3|s7      |5E1|VDL-ETG ASML REL.       140716|22.07.00650 |     0|        2,00  |13-01-2023|10-02-2023|  8070|N01|4010|        |
4022 693 97252  |EI EU MF2 CBL BUN 021-0233C   |S|PIL|6 s3    |5A3|ASML 1D-BUNDLE          141104|21.10.0976.1|338715|        6,00  |22-08-2022|13-09-2022|  8035|N01|4010|        |
4022 694 01882  |LS UV LPPS LTB LCM CBL        |S|PIL|        |5A1|ASML CABLE              141104|22.03.00240 |741261|       15,00  |09-08-2022|31-08-2022|     0|N01|4010|        |
4022 694 02161  |LS UV LPPS KEYSW/LED LTBPCA-X5|S|PIL|        |5A1|ASML CABLE              141104|22.03.00240 |338681|       15,00  |18-08-2022|09-09-2022|     0|N01|4010|        |
4022 694 06511  |EL PE FFCP GUIDE PLT CBL      |M|EP4|        |5N2|NAA ASML-CABLE          140836|22.05.00384 |     0|        3,00  |31-10-2022|23-11-2022|     0|N01|4010|        |
4022 694 06521  |EL PE FFCP BRKT CBL           |M|EP4|        |5N2|NAA ASML-CABLE          140836|22.05.00384 |     0|        3,00  |31-10-2022|23-11-2022|     0|N01|4010|        |
4022 694 06561  |EL PE FRCP GUIDE BRACKET R CBL|M|EP4|        |5N2|NAA ASML-CABLE          140836|22.05.00383 |     0|        4,00  |18-10-2022|10-11-2022|  8035|N01|4010|        |
4022 694 06571  |EL PE FRCP FRCP2 CBL          |M|PIL|        |5N2|NAA ASML-CABLE          140836|22.05.00383 |     0|        4,00  |14-10-2022|08-11-2022|  8030|N01|4010|        |
4022 694 08061B |4022 694 08061 L=17140        |S|EN4|        |5A1|ASML CABLE              141104|22.03.00226 |338662|       30,00  |10-08-2022|02-09-2022|  8034|N01|4010|        |
4022 694 08081B |4022 694 08081 L=17180        |S|EN4|        |5A1|ASML CABLE              141104|22.03.00226 |338663|       30,00  |10-08-2022|02-09-2022|  8034|N01|4010|        |
4022 694 08091  |IM ILL-TEMP SAF FRCP ILMHB CBL|M|EN3|        |5A1|ASML CABLE              141104|22.05.00368 |     0|       10,00  |28-11-2022|15-12-2022|     0|N01|4010|        |
4022 694 21732  |EI EU MF CBL BUN 021-0039V    |M|EN3|        |5A3|ASML 1D-BUNDLE          141104|22.02.00256 |     0|        1,00  |25-11-2022|19-12-2022|  8035|N01|4010|        |
